IDH2hyper	WT1hyper	CEBPahyper	TET2Hyper	IDH1Hyper	DNMT3Ahyper
MMP13	PPFIA2	MIR125B1	DHRS7	FDPS	
GSTM3	SLC6A15	LOC399959	HSPA2	ASH1L	
PDGFD	ALX1	UBASH3B	FAM71D	LOC645676	
C1orf127	SOCS2	ASAM	KCNK10	RXFP4	
MIR429	MIR492	MICALCL	TRIP11	LMNA	
CSF1	ZIC5	GRAMD1B	OTUB2	BGLAP	
RNF141	ZIC2	PANX3	SERPINA6	OR8U8	
MRVI1	PCCA	NRGN	SNORD115-8	OR5AP2	
MUC2	IRS2	ESAM	ATP10A	MIB2	
EXPH5	COL4A2	SLC37A2	OCA2	IQGAP3	
KCNA10	SOX1	FEZ1	APBA2	BCAN	
BTG4	TINAGL1	KIRREL3	PODN	MRPL24	
C11orf88	GJA3	ETS1	SLC1A7	NTRK1	
MIR34C	PRDM16	FLI1	SPTBN5	INSRR	
KCNA2	ATP8A2	TMEM45B	TRIM69	TNKS1BP1	
HSPB2	GSX1	NFRKB	DUOX2	MIR130A	
CRYAB	PDX1	APLP2	DUOX1	CTRC	
C11orf52	N4BP2L2	ST14	FAM63B	CD1C	
SRM	NBEA	ADAMTS8	NARG2	CD1E	
IL18	MIR548F5	WNT2B	RBPMS2	CNTF	
NCAM1	MAB21L1	NTM	CT62	ZFP91-CNTF	
USP28	C1orf94	TOLLIP	C15orf60	MNDA	
HTR3A	CSMD2	LOC255512	CD276	PYHIN1	
ZBTB16	SIAH3	OPCML	KLHL25	AIM2	
CD53	RB1	B3GAT1	MIR1276	DARC	
C1orf103	MLNR	SPON1	ACAN	PATL1	
EXOSC10	THSD1	PSMA1	IGF1R	SLAMF8	
BACE1	LECT1	TNFRSF4	FGGY	MS4A3	
DSCAML1	WDR8	CALCA	CACNA1H	VSIG8	
DENND2D	TP73	TRIM33	TPSAB1	CCDC19	
TTLL10	PCDH17	HCCA2	TPSD1	IGSF9	
FXYD2	TFAP2E	TSPAN2	UBE2I	MS4A4A	
CHI3L2	LOC388588	NHLH2	UNKL	ATP1A2	
IL10RA	OSCP1	SLC22A15	PARN	LOC728661	
TMPRSS4	LMO7	FAM99B	C16orf45	CDK11B	
SCN4B	RSPO1	CD58	MYH11	PEA15	
AMICA1	SLITRK1	FBXO44	ABCC1	SLAMF1	
MPZL3	GPC5	FBXO2	TMC7	ZP1	
MPZL2	HS6ST3	IGSF3	CHD5	CD48	
CD3D	SLC15A1	CD2	SCNN1G	CD5	
LOC149620	MYCL1	MAD2L2	ABCA3	USP21	
MLL	HHIPL1	KCNJ11	SLC5A11	B4GALT3	
TTC36	DEGS2	TTF2	SULT1A1	TMEM216	
PHLDB1	DLK1	KCNC1	BTBD12	C11orf66	
USP47	TECPR2	CTSD	ACOT7	SYT7	
DDX6	AMN	AGTRAP	ADCY7	FCGR2A	
CXCR5	PPP1R13B	SERGEF	PLEKHG5	IRF7	
BCL9L	NDRG2	FAM132A	MT2A	BEST1	
HMBS	NGDN	SAA1	MT1X	FTH1	
C2CD2L	JPH4	SYT8	CPNE2	ASRGL1	
CCDC153	CBLN3	CLCN6	GPR56	AHNAK	
CBL	KHNYN	MTHFR	PDPR	EEF1G	
MCAM	NOVA1	SPAG17	MLKL	TUT1	
USP2	FAM183A	LSP1	FAM173A	MTA2	
THY1	SFTA3	NPPA	MSLNL	EML3	
LOC441897	PAX9	CSRP3	OSGIN1	ROM1	
OVGP1	SLC25A21	TBX15	ADAD2	B3GAT3	
POU2F3	LOC100129794	LOC100126784	KIAA0513	BSCL2	
ARHGEF12	SSTR1	NAV2	ZCCHC14	GNG3	
ADORA3	ARTN	LOC100133545	JPH3	SNORD22	
GRIK4	PTGDR	ZNF697	CA5A	SNORD31	
MICAL2	BTBD19	DBX1	ZFPM1	SNORD30	
SORL1	BMP4	HTATIP2	C16orf81	SNHG1	
RAP1A	EIF2B3	MFN2	SPIRE2	CHRM1	
LOC399959	OTX2OS1	LOC647121	DBNDD1	ZBTB17	
UBASH3B	SNAPC1	INS-IGF2	MPRIP	HRASLS5	
ASAM	HSPA2	IGF2AS	LGALS9C	HSPB7	
MICALCL	AJAP1	IGF2	RTN4RL1	RTN3	
KCND3	PNMA1	TH	SMG6	CLCNKB	
OR6M1	ESRRB	TNFRSF1B	KSR1	FAM131C	
VWA5A	TAL1	GAS2	KIAA0664	DRD4	
OR8G2	VASH1	ASCL2	SARM1	STIP1	
OR8G1	ZDHHC22	VPS13D	FOXN1	PLCB3	
OR8G5	MGC12982	CD81	SSH2	SLC22A11	
OR8D1	FOXD2	ACAP3	CCL5	APBB1	
MUC5B	GALC	TRPM5	KRTAP4-5	NRXN2	
ROBO3	FBLN5	PUSL1	ANKFY1	EPHA2	
HEPACAM	C14orf132	DHRS3	LOC90586	NAALADL1	
SLC37A2	AGBL4	FIBIN	HDAC5	DPF2	
PKNOX2	ELAVL4	KCNQ1OT1	GJC1	FRMD8	
FEZ1	DMRTA2	KCNQ1	MAPT	MIR612	
DCPS	ADAMTS17	NLRP6	SP6	LTBP3	
KIRREL3	LOC646214	SLC22A18AS	MYCBPAP	FAM89B	
TEAD1	GABRA5	SLC22A18	CA10	FOSL1	
ETS1	TJP1	IFITM5	LPO	KLC2	
FLI1	GREM1	KCNA4	FTSJ3	YIF1A	
KCNJ1	ZYG11A	MPPED2	PRKCA	RIN1	
TMEM45B	RYR3	CARS	KIAA0753	PELI3	
NFRKB	THBS1	OSBPL5	ARSG	TAF10	
TOLLIP	ITPKA	PAX6	ASGR1	SPTBN2	
APLP2	LTK	IFITM3	GGA3	KDM2A	
ST14	SPTBN5	RCN1	ITGB4	ADRBK1	
ZBTB44	MFAP1	MRGPRG	SNORD1A	DUSP27	
ADAMTS8	FRMD5	C11orf36	09-9__	SSH3	
WNT2B	SPG11	WT1	DNAH17	ANKRD13D	
