IDH2hyper	WT1hyper	CEBPahyper	TET2Hyper	IDH1Hyper	DNMT3Ahyper
AKR7L	11-3__	HMGA2		KCTD5	
AKR7A3	FBLL1	GAPDH		GTF3C1	
PQLC2	SLIT3	CD52		XPO6	
DENND1B	TLX3	IFFO1		APOB48R	
CAPZB	FGF18	AIM1L		CLN3	
PTPRC	NKX2-5	HELB		SULT1A2	
PRKCZ	BOD1	ACRBP		SULT1A1	
C1orf151	MSX2	DHDDS		ZG16B	
C1orf106	CPLX2	HMGN2		CD19	
KIF21B	NSD1	DYRK2		SPNS1	
TMEM9	MGAT4B	RPS6KA1		LAT	
IGFN1	BTNL9	MIR1976		PRSS22	
CSRP1	RXFP3	LAG3		KIF22	
SHISA4	MGC42105	SLC35E3		MAZ	
LMOD1	SLC9A3	BEST3		PAQR4	
RNPEP	PDE4D	LRRC23		PKMYT1	
LGR6	ELOVL7	ENO2		LOC595101	
SYT2	TPPP	PTPN6		ITGAL	
LOC148709	MTX3	ARID1A		CLDN9	
TMEM183B	THBS4	PHB2		SNORA30	
TMEM183A	ANKRD34B	ZDHHC18		SRCAP	
MYBPH	RASGRF2	SFN		THOC6	
CHI3L1	RNU5E	TBC1D15		HSD3B7	
BTG2	RNU5D	NR0B2		SETD1A	
FMOD	CKMT2	C1R		ZNF668	
LAX1	GPR98	C1RL		ZNF646	
PLA2G5	FLJ42709	NUDC		PRSS36	
SOX13	SEMA5A	LOC283314		MGC3771	
ETNK2	PCSK1	CLSTN3		ZNF205	
GOLT1A	PRDM13	RBP5		ZNF213	
PLEKHA6	SIM1	FAM46B		MEFV	
LRRN2	TFAP2A	PEX5		ARHGDIG	
PLA2G2F	GCNT2	SLC9A1		PDIA2	
PLA2G2C	ATG5	TMEM222		BTBD12	
NFASC	NR2E1	BBS10		CREBBP	
CNTN2	GCM2	MAP3K6		LOC100134368	
UBXN10	MARCKS	CD164L2		ROR1	
TMCC2	TPD52L1	NINJ2		ACOT7	
NUAK2	C6orf174	FGR		DECR2	
KLHDC8A	VNN2	SLC2A14		MYLK3	
CDK18	EYA4	C1orf38		MGRN1	
MFSD4	SGK1	FAM66C		RAB11FIP3	
SLC45A3	NHSL1	SLC6A15		NOD2	
SLC26A9	GRM1	ALX1		ESPN	
CTSE	SASH1	SESN2		FTO	
IKBKE	NUP43	RASSF9		PLEKHG5	
RASSF5	AKAP12	SNHG3-RCC1		CES1	
MAPKAPK2	TIAM2	RCC1		DOK4	
IL19	FNDC1	RIMKLB		CCDC102A	
IL24	IGF2R	RAB42		C16orf80	
FAIM3	T	GMEB1		SOLH	
PIGR	KIF25	KLRG1		NHLRC4	
C1orf116	THBS2	PLEKHG7		KLHL21	
PFKFB2	RBM24	SOCS2		TK2	
C4BPB	ID4	CRADD		C16orf70	
CD55	FAM65B	TMEM200B		LRRC29	
PLXNA2	HIST1H4F	FGD6		PHF13	
FAM43B	LOC100270746	USP44		AGRP	
CDA	C6orf41	CDK17		ATP6V0D1	
LOC642587	PRSS16	PRDM16		FAM65A	
TRAF3IP3	HIST1H3J	TMPO		PARD6A	
CLEC12A	ZNF187	ANKS1B		ACD	
MYBPC1	SCAND3	CLYBL		DUS2L	
GNPTAB	HLA-F	ZIC5		TMCO7	
RAD52	IFITM4P	ZIC2		CIRH1A	
CLEC7A	HCG4	EFNB2		PDF	
IGF1	HLA-G	IRS2		COG8	
C12orf59	HLA-H	CARS2		CYB5B	
NT5DC3	HCG9	SOX1		ST3GAL2	
TDG	HLA-J	MCF2L		VAC14	
TXNRD1	NCRNA00171	F7		ZNF19	
EID3	RNF39	F10		RHOT2	
CHST11	TRIM15	DCUN1D2		WDR90	
KIAA1033	HLA-L	TMCO3		ZFHX3	
APPL2	PPP1R10	SERINC2		IL23R	
RIC8B	HLA-C	TINAGL1		FAM173A	
STYK1	MICA	HCRTR1		IL12RB2	
KCNH1	BAT5	CRYL1		HAGHL	
CMKLR1	LY6G6E	COL16A1		CMIP	
TMEM119	TNXB	LATS2		MSLN	
SELPLG	PRRT1	SPOCD1		MSLNL	
CORO1C	B3GALT4	IQCC		CDH13	
SSH1	TULP1	CCDC28B		MBTPS1	
UNG	CPNE5	LCK		HSDL1	
FOXN4	MDFI	LOC100128071		KIAA0513	
KCTD10	GNMT	TSSK3		PRR25	
MGC14436	TTBK1	CDX2		KIAA0182	
C12orf34	CRIP3	PRHOXNB		IRF8	
TRPV4	RSPH9	LOC100188949		LOC732275	
GLTP	PLA2G7	B3GALTL		ZCCHC14	
TCHP	TFAP2B	KIAA1522		JPH3	
GIT2	C6orf155	N4BP2L1		KLHDC4	
IFT81	ELOVL4	FNDC5		SLC7A5	
ATP2A2	HTR1E	HPCA		CA5A	
GPN3	BACH2	TRIM62		BANP	
C12orf24	ACTL6B	RFXAP		ZFPM1	
RAD9B	GNB2	SMAD9		ZC3H18	
VPS29	ACHE	ZNF362		MGC23284	
PPTC7	FIS1	PHC2		SNAI3	
TCTN1	EMID2	ARHGEF16		RNF166	
PPP1CC	SLC26A5	LHFP		FAM38A	
CCDC63	WNT2	FOXO1		CBFA2T3	
MYL2	FEZF1	SUGT1L1		ACSF3	
FAM109A	VWDE	KBTBD7		C16orf81	
SH2B3	SCIN	TNFSF11		ANKRD11	
ALDH2	UNCX	C13orf30		SPG7	
OAS3	FLNC	ENOX1		GRIN2A	
DTX1	KCP	TPT1		ABR	
RASAL1	C7orf49	SNORA31		TMEM220	
CCDC42B	HIPK2	COG3		COX10	
TPCN1	FAM115A	SPERT		SLC43A2	
RBM19	CNTNAP2	SIAH3		CDRT4	
MED13L	FABP5L3	C13orf18		RILP	
RNFT2	MLL3	ESD		PRPF8	
C12orf49	DPP6	ITM2B		NCOR1	
TESC	EN2	RB1		PIGL	
FBXO21	CNPY1	MLNR		WDR81	
ETV6	SHH	CAB39L		NCRNA00188	
RFC5	PTPRN2	EBPL		SNORD65	
SRRM4	FERD3L	DLEU2		SERPINF1	
CIT	SP8	GUCY1B2		SMYD4	
PXN	HOXA1	DHRS12		MPRIP	
UNC119B	GARS	GJA4		PLD6	
ACADS	PDE1C	THSD1P		RAI1	
C1orf86	TBX20	TPRG1L		ATPAF2	
LOC100128003	GLI3	TP73		RTN4RL1	
P2RX4	BLVRA	WDR8		RPH3AL	
CAMKK2	CAMK2B	PCDH17		TMEM11	
KDM2B	TNS3	TFAP2E		SMG6	
INTS7	FOXK1	C1orf216		PAFAH1B1	
DTL	C7orf57	PCDH20		KSR1	
ORAI1	PAPOLB	KIAA0495		NLK	
MORN3	RADIL	C1orf113		PYY2	
TMEM120B	VSTM2A	PCDH9		VTN	
LOC338799	FBXL18	STK40		TIAF1	
SETD1B	FSCN1	LOC388588		MYO18A	
BCL2L14	RSPH10B	TBC1D4		ABHD15	
BCL7A	RSPH10B2	LMO7		ANKRD13B	
MLXIP	TPST1	CLN5		CRLF3	
LRRC43	AUTS2	RBM26		EVI2A	
ZCCHC8	CALN1	NDFIP2		NF1	
GPR81	PRKAR1B	DNALI1		CCL1	
HIP1R	MAGI2	CDCA8		LIG3	
VPS37B	GRM3	C1orf109		RFFL	
ABCB9	PEG10	MANEAL		ASPA	
PITPNM2	SGCE	C1orf122		GAS2L2	
MPHOSPH9	PPP1R9A	YRDC		CCL5	
SETD8	PON3	POU3F1		MRM1	
DNAH10	DLX6AS	SLITRK6		DHRS11	
CCDC92	DLX6	SLITRK5		DUSP14	
NCOR2	DLX5	RRAGC		P2RX5	
LOH12CR2	TAC1	NDUFS5		SRCIN1	
LOH12CR1	NPTX2	MACF1		MLLT6	
SCARB1	STAG3	ABCC4		CISD3	
UBC	GPC2	CLDN10		ITGAE	
AACS	SNX31	DZIP1		ARL5C	
BATF3	GRHL2	HS6ST3		PGAP3	
SLC15A4	PKHD1L1	STK24		GRB7	
GLT1D1	XKR6	UBAC2		IKZF3	
APOLD1	KCNV1	HPCAL4		RARA	
DDX47	CSMD3	BMP8B		KRTAP4-12	
GPRC5A	GATA4	MFSD2A		SC65	
RIMBP2	TNFRSF11B	COL9A2		FKBP10	
STX2	COL14A1	HHIPL1		STAT5B	
RAN	HAS2AS	SLC25A29		STAT5A	
GPR133	HAS2	C14orf68		STAT3	
HTR7P	FAM84B	WARS		COASY	
HEBP1	SCRT1	WDR25		AOC3	
RPS6KC1	PPP1R16A	DLK1		BRCA1	
SFRS8	ZNF34	MEG3		NBR2	
MMP17	TUSC3	MIR770		DUSP3	
ULK1	FGF20	DIO3		C17orf105	
EP400	MTMR7	PPP2R5C		UBTF	
DDX51	KBTBD11	DYNC1H1		NMT1	
NOC4L	SORBS3	TECPR2		DCAKD	
GALNT9	EGR3	TRAF3		ACBD4	
LOC100130238	RHOBTB2	AMN		LOC100133991	
FBRSL1	EBF2	CDC42BPB		FMNL1	
P2RX2	PNMA2	MARK3		C17orf46	
POLE	EPHX2	CKB		MAP3K14	
PGAM5	RBPMS	ZFYVE21		LOC100128977	
GOLGA3	HTRA4	PPP1R13B		IMP5	
EMP1	SFRP1	KIF26A		MAPT	
ATF7IP	ANK1	ADSSL1		ITGB3	
PTPN14	C8orf42	AKT1		SP6	
PLBD1	EFCAB1	PLD4		ARRB2	
FAM138D	OPRK1	AHNAK2		TM4SF5	
ERP27	SOX17	NUDT14		UBE2Z	
PDE6H	MIR124-2	PACS2		GNGT2	
LOC100292680	CYP7B1	MTA1		ABI3	
ECE1	IL7	TMEM121		PHB	
SKI	STMN2	KCNQ4		NGFR	
MGST1	CLDN23	CITED4		NXPH3	
WNT5B	TP53INP1	CTPS		SPOP	
ESRRG	GDF6	EDN2		SAMD14	
CACNA2D4	MIR124-1	HIVEP3		GP1BA	
RAP1GAP	LOC157627	RNASE12		ACSF2	
PLEKHA5	TSPYL5	RNASE11		CACNA1G	
SLC30A10	MATN2	ANG		LUC7L3	
USP48	KCNS2	RNASE4		C17orf87	
DCP1B	OSR2	RNASE2		RABEP1	
LDLRAD2	FOXE1	NDRG2		DGKE	
HSPG2	GRIN3A	RNASE7		SCPEP1	
HHIPL2	ZNF483	CHD8		MSI2	
TLR5	LOC169834	ABHD4		CUEDC1	
CACNA1C	ZFP37	OXA1L		VEZF1	
SUSD4	GGTA1	SLC7A7		SFRS1	
CAPN8	DAB2IP	MMP14		EPX	
CAPN2	LHX2	REM2		MKS1	
TP53BP2	LMX1B	JUB		LPO	
WNT4	DNM1	CDH24		MPO	
BCAT1	CERCAM	ACIN1		MIR21	
MORN1	C9orf50	SLC7A8		LOC653653	
TMEM63A	NACC2	PPP1R3E		BCAS3	
LEFTY2	MRPL41	LRRC16B		LIMD2	
BHLHE41	CDKN2BAS	CPNE6		CCDC47	
MIXL1	FLJ35024	PCK2		FTSJ3	
PARP1	VLDLR	FITM1		SMARCD2	
C1orf95	CA9	REC8		ERN1	
ITPKB	TMEM8B	ADCY4		LOC146880	
ITPR2	PAX5	NFATC4		CCDC46	
CABC1	C9orf122	CBLN3		PRKCA	
MED21	RLN2	KHNYN		PITPNC1	
STK38L	RLN1	CTSG		ARSG	
ARNTL2	CD274	STXBP6		MAP2K6	
WNT3A	GLDC	FOXJ3		MIR195	
MRPL55	FOXD4L6	C14orf23		MIR497	
GJC2	FOXD4L5	COCH		SLC16A11	
C1orf69	C9orf135	STRN3		ASGR1	
OBSCN	RASEF	AP4S1		CDC42EP4	
RHOU	NTRK2	YBX1		C17orf54	
C1QA	PTPRD	NFKBIA		YBX2	
C1QC	DAPK1	SFTA3		NEURL4	
URB2	FBP1	NKX2-8		GPS2	
TAF5L	DMRT3	TMEM125		CD300LB	
GALNT2	GPRASP1	SLC25A21		GGA3	
EPHB2	GPRASP2	LOC100129794		GRB2	
CAPN9	TMSB15B	CLEC14A		TSEN54	
C1orf198	MIR1256	ARTN		ITGB4	
TEAD4	FAM122B	B4GALT2		UNK	
TSPAN11	FAM122C	CCDC24		EXOC7	
MIR1182	FAM127B	SLC6A9		ZACN	
FAM89A	EGFL6	ERI3		TNFSF12	
DDX11	FGF13	RNF220		TNFSF12-TNFSF13	
FAM60A	GABRA3	ARF6		SNORD1A	
EXOC8	MAP7D2	ATL1		ST6GALNAC2	
C1orf124	KLHL34	C1orf228		SHBG	
EGLN1	ARX	BEST4		FXR2	
TSNAX-DISC1		NID2		09-9__	
TSNAX		PLK3		TNRC6C	
DISC1		DDHD1		TMC6	
AMN1		EIF2B3		AFMID	
SLC6A12		HECTD3		TK1	
RER1		UROD		PGS1	
KIAA1383		SAMD4A		DNAH17	
PCNXL2		FBXO34		TIMP2	
PEX10		TBPL2		HRNBP3	
TSPAN9		KTN1		KDM6B	
TOMM20		C14orf33		AK5	
TBCE		PELI2		CHD3	
B3GALNT2		KIAA0586		TBC1D16	
GNG4		GPR135		CCDC40	
LYST		SNAPC1		GAA	
MIR1537		HSPA2		LOC284023	
GPR137B		PLEKHG3		RPTOR	
EDARADD		RAB15		BAIAP2	
HNRNPR		TSPAN1		AATK	
ACTN2		C1orf190		AZI1	
C1orf213		POMGNT1		ALOX15B	
ZNF436		LRRC41		NPLOC4	
TCEA3		PLEK2		SIRT7	
SLC6A13		PLEKHH1		PCYT2	
ASAP3		ARG2		MAFG	
EFCAB4B		DCAF5		LOC643837	
ID3		KIAA0247		DUS1L	
CHRM3		DPF3		CCDC57	
SLC2A13		PAPLN		SLC16A3	
PLCH2		ACOT4		ALOXE3	
LYPLA2		C14orf43		CD7	
GALE		ABCD4		SECTM1	
OPN3		RPS6KL1		FOXK2	
CNR2		PGF		TBCD	
PLD5		FAM164C		METRNL	
SFRS13A		PDZK1IP1		C17orf44	
SDCCAG8		VASH1		MYH10	
AKT3		C14orf4		FUBP1	
CCND2		POMT2		NXN	
C1orf101		FOXE3		PIK3R5	
PPPDE1		TSHR		STX8	
FGF23		SPATA6		USP43	
HNRNPU		TTC7B		GAS7	
EFCAB2		CCDC88C		C18orf1	
LOC284632		SMEK1		C18orf45	
KIF26B		FBLN5		LAMA3	
FGF6		SLC24A4		SS18	
ANO6		C14orf109		LOC728606	
SMYD3		ASB2		SMCHD1	
GRHL3		OTUB2		DSG1	
SLC38A1		C14orf49		ZNF397	
CNST		BDKRB2		ZNF397OS	
TFB2M		C14orf64		DLGAP1	
SLC38A2		BCL11B		BRUNOL4	
LOC149134		AGBL4		SETBP1	
ZNF695		ELAVL4		RNF165	
NIPAL3		DMRTA2		CXXC1	
ZNF496		LYSMD4		MBD1	
OR2W5		ADAMTS17		MEX3C	
HDAC7		ALDH1A3		RERE	
RCAN3		SELS		ZFP161	
VDR		PCSK6		FLJ39609	
OR2T12		LOC646214		NEDD4L	
ZNF641		CYFIP1		LOC390858	
LOC646627		SNRPN		TNFRSF11A	
OR8S1		SNORD115-11		BCL2	
ZNF692		SNORD115-29		SERPINB2	
ADCY6		SNORD115-36		DOK6	
CACNB3		SNORD115-43		CD226	
WNT1		GABRA5		CNDP2	
LMBR1L		APBA2		ZADH2	
TUBA1C		TJP1		LOC284276	
PRPH		ZCCHC11		NFATC1	
KCNH3		SCG5		RALBP1	
PRPF40B		GJD2		LRRC8B	
FMNL3		PODN		ANGPTL6	
LOC100286844		SLC1A7		PPAN	
NCKAP5L		MAGOH		PPAN-P2RY11	
KCNA1		LRP8		SLC2A5	
LOC283332		RASGRP1		CNN2	
AQP6		GLIS1		ICAM4	
ACCN2		BUB1B		ICAM1	
GPD1		PAK6		FDX1L	
LIMA1		C15orf56		RAVER1	
LARP4		PHGR1		ABCA7	
ATF1		BAHD1		AP1M2	
LETMD1		CHST14		SBNO2	
POU6F1		SPINT1		ECSIT	
BIN2		CHAC1		ZNF653	
SLC4A8		ITPKA		ZNF700	
SCN8A		SPTBN5		ZNF791	
FIGNL2		GANC		FBXW9	
RUNX3		SNAP23		MAST1	
ACVR1B		CDAN1		KLF1	
MMEL1		TMEM48		DAND5	
KRT80		TGM5		MUM1	
LOC283404		MAP1A		PODNL1	
KRT7		CTDSPL2		DCAF15	
KRT81		TRIM69		IL27RA	
KRT86		DUOX2		RPS15	
KRT83		DUOXA2		TECR	
KRT85		DUOX1		AKAP8	
KRT84		DUOXA1		WIZ	
KRT75		C1orf83		MBD3	
KRT6C		SSBP3		TPM4	
KRT6A		SLC24A5		TCF3	
KRT74		DUT		CIB3	
KRT8		FBN1		EPS15L1	
KRT18		SECISBP2L		USE1	
SPRYD3		SLC27A2		ONECUT3	
IGFBP6		GABPB1		FCHO1	
SOAT2		FLJ10038		REXO1	
ITGB7		GLDN		KLF16	
RARG		LYSMD2		ISYNA1	
PFDN5		BCL2L10		C19orf60	
C12orf10		MYO5C		COMP	
SP7		KIAA1370		LOC729991-MEF2B	
MAP3K12		DHCR24		MEF2B	
FLJ12825		TMEM61		HAPLN4	
LOC100240734		ALDH1A2		BTBD2	
ZNF385A		AQP9		MKNK2	
ITGA5		LIPC		MOBKL2A	
GTSF1		ADAM10		JSRP1	
PDE1B		MYO1E		OAZ1	
ITGA7		GTF2A2		C19orf35	
CD63		FOXB1		LINGO3	
DGKA		NARG2		GNG7	
SILV		C2CD4A		BTBD8	
CDK2		DAPK2		H6PD	
ERBB3		ZNF609		C19orf12	
PA2G4		ANKDD1A		SLC7A10	
RPL41		RASL12		NFIC	
IL23A		LOC390594		TBXA2R	
SPRYD4		CILP		ZBTB32	
TAC3		IGDCC3		TYROBP	
LRP1		SNAPC5		ZNF565	
MIR1228		SNORD18A		ZNF146	
INHBC		RPL4		SPSB1	
INHBE		SNORD18B		ZNF781	
GLI1		SNORD16		PPP1R14A	
ARHGAP9		SMAD6		FCGBP	
MBD6		SMAD3		MAP2K2	
DDIT3		IQCH		NUMBL	
KIF5A		AAGAB		C19orf54	
PIP4K2C		MAP2K5		SNRPA	
CDK4		LBXCOR1		EGLN2	
09-3__		CALML4		TGFB1	
CYP27B1		CLN6		CEACAM6	
AVIL		CORO2B		TMEM145	
CTDSP2		MIR548H4		TMIGD2	
LDLRAP1		SPESP1		FSD1	
MAN1C1		NOX5		STAP2	
SEPN1		GLCE		PSG4	
FAM54B		GRAMD2		CD177	
LOC646471		PKM2		TEX101	
VWF		BBS4		SH3GL1	
C1orf135		HIGD2B		UBXN6	
PAQR7		NEO1		APOC1P1	
PPM1H		LOXL1		SEMA6B	
CD9		STOML1		ABCA4	
SLC30A2		CCDC33		DMPK	
PLEKHG6		CYP1A2		ODF3L2	
TNFRSF1A		ULK3		PTGIR	
SCNN1A		RPP25		FKRP	
GRRP1		C15orf39		SLC1A5	
MIR548C		COMMD4		AP2S1	
RASSF3		NEIL1		C5AR1	
MSRB3		CSPG4		GPR77	
VAMP1		C15orf27		SLC8A2	
UBXN11		TBC1D2B		NAPA	
HMGA2		SH2D7		SNORD23	
GAPDH		ACSBG1		GLTSCR2	
IFFO1		DNAJA4		ARRDC5	
IRAK3		CHRNB4		SULT2B1	
AIM1L		RASGRF1		UHRF1	
ZNF683		FAH		FUT1	
LPAR5		ARNT2		PPP1R15A	
ACRBP		CPEB1		DHDH	
DHDDS		C15orf40		CGB8	
HMGN2		BTBD1		KCNA7	
DYRK2		BNC1		RRAS	
RPS6KA1		ALPK3		MYH14	
IL22		DAB1		ASPDH	
MIR1976		ISG20		CLEC11A	
LAG3		ACAN		KLK10	
SLC35E3		PLIN1		SIGLEC9	
CPM		TACSTD2		SIGLEC7	
GNB3		C15orf38		IGLON5	
USP5		SEMA4B		VSIG10L	
CDCA3		FURIN		NKG7	
FRS2		MAN2A2		SIGLEC10	
BEST3		NR2F2		LOC100129083	
RAB3IP		MIR1469		PPP2R1A	
LRRC23		FAM169B		MYADM	
ENO2		IGF1R		VSTM1	
ATN1		HOOK1		LILRB5	
C12orf57		NPHP4		LILRA3	
PTPN6		LMF1		LILRA4	
KCNMB4		SOX8		LAIR2	
PHB2		EMP2		KIR3DL2	
EMG1		PRM3		NCR1	
ARID1A		C1QTNF8		TMEM190	
PTPRB		SNN		RPL28	
PIGV		TXNDC11		NAT14	
SFN		ZC3H7A		ZNF628	
NR0B2		RUNDC2A		SSC5D	
C1RL		SNX29		AGRN	
LOC283314		RHBDF1		LONP1	
TRHDE		MPG		PEG3	
C1orf172		TPSAB1		ZIM2	
TRNP1		TPSD1		BSG	
FAM46B		UBE2I		FUT5	
SLC9A1		BAIAP3		RPS5	
LOC552889		UNKL		NDUFA11	
NINJ2		PARN		HCN2	
KRR1		CCDC154		RFX2	
CD163L1		ABCC6P2		RNF126	
MAP3K6		NFIA		PALM	
CSRP2		MPV17L		C1orf200	
AHDC1		C16orf45		PIK3CD	
FGR		NDE1		C19orf21	
SLC2A14		MYH11		PNPLA6	
PPP1R12A		NOMO3		STXBP2	
SLC2A3		CHD5		RETN	
C1orf38		CRAMP1L		FCER2	
TMTC2		MAPK8IP3		PTBP1	
FAM90A1		NME3		FBN3	
SLC6A15		HAGH		LASS4	
LOC389634		SYT17		ELANE	
SESN2		HS3ST6		ZNF414	
RASSF9		SEPX1		CFD	
MFAP5		NOXO1		C19orf22	
SNHG3-RCC1		ZNF598		ARID3A	
RCC1		NTHL1		CTNNBIP1	
SNHG12		DNAH3		OLFM2	
SNORD99		PKD1		TASP1	
SNORA61		RAB26		SNX5	
GMEB1		DNASE1L2		SNORD17	
ATP2B1		ERN2		SIRPA	
KLRG1		PRKCB		RIN2	
PLEKHG7		CACNG3		CD93	
UBE2N		NTN3		COX4I2	
CRADD		TBC1D24		BCL2L1	
PLXNC1		HS3ST4		TTLL9	
AMDHD1		CEMP1		ASXL1	
HAL		RNF207		LOC284805	
ELK3		IL4R		COMMD7	
CDK17		KCTD5		CDK5RAP1	
FLJ42875		PRSS27		E2F1	
TMPO		GSG1L		RALY	
SLC25A3		XPO6		TRPC4AP	
ANKS1B		SBK1		CPNE1	
PRDM16		PRSS33		RBM12	
PCCA		APOB48R		LOC647979	
FAM155A		CLN3		EPB41L1	
MYO16		IL27		C20orf118	
IRS2		TMPRSS8		BLCAP	
COL4A2		RRN3P2		ADAM33	
CARKD		RUNDC2C		HSPA12B	
CARS2		BOLA2		C20orf27	
ANKRD10		GIYD2		CENPB	
ARHGEF7		SULT1A4		RBCK1	
C13orf16		GIYD1		PLCG1	
C13orf35		BOLA2B		ZHX3	
ATP11A		SULT1A3		SLPI	
MCF2L		KIF22		CTSA	
F10		MAZ		PLTP	
PROZ		C16orf53		SLC35C2	
CUL4A		MVP		SULF2	
LAMP1		KREMEN2		C20orf199	
GRTP1		TBC1D10B		SNORD12B	
DCUN1D2		ZNF771		SNORD12	
TMCO3		DCTPP1		MIR1259	
TFDP1		CLDN6		B4GALT5	
ATP4B		PHKG2		FAM65C	
GRK1		ZNF629		ADNP	
RASA3		BCL7C		KCNG1	
UPF3A		CTF1		RBM38	
MATN1		SETD1A		PMEPA1	
LAPTM5		STX1B		SLMO2	
SDC3		PRSS8		PHACTR3	
NKAIN1		IL32		PPP1R3D	
LOC100101938		ZSCAN10		CDH26	
TINAGL1		ZNF205		GTPBP5	
GJA3		MGC3771		ADRM1	
GJB2		ZNF267		LAMA5	
GJB6		MEFV		FERMT1	
HCRTR1		PDIA2		COL9A3	
CRYL1		BTBD12		NKAIN4	
IL17D		TRAP1		KCNQ2	
COL16A1		FOXD3		EEF1A2	
LATS2		CREBBP		SRMS	
BAI2		AXIN1		PRIC285	
SPOCD1		PGM1		STMN3	
PTP4A2		ADCY9		RTEL1	
PCOTH		ACOT7		ZGPAT	
MIPEP		SRL		LIME1	
SPATA13		CORO7		NCRNA00176	
C1QTNF9		ROR1		OPRL1	
ATP12A		FAM100A		C20orf201	
TXLNA		GPT2		NPBWR2	
DCDC2B		RAB11FIP3		ANGPT4	
MTMR9L		ESPN		LONRF2	
LCK		GLYR1		RNF149	
USP12		ZNF423		MAP4K4	
RASL11A		ADCY7		TGFBRAP1	
HDAC1		NOD2		UXS1	
MARCKSL1		SALL1		PDIA6	
MTIF3		TNFRSF25		LOC100287216	
LOC100128071		PLEKHG5		SH3RF3	
TSSK3		RBL2		FBLN7	
MTUS2		AKTIP		SLC20A1	
LOC100188949		JAK1		CKAP2L	
ALOX5AP		IRX5		IL1B	
C13orf26		IRX6		SNTG2	
SYNC		GNAO1		USP25	
B3GALTL		AMFR		TMEM37	
KIAA1522		MT3		GLI2	
FRY		MT2A		BIN1	
STARD13		MT1M		ADAMTS1	
ADC		NLRC5		KRTAP23-1	
RFXAP		CPNE2		FAM128A	
SMAD9		PLLP		TIAM1	
ARHGEF16		COQ9		SOD1	
CSMD2		CIAPIN1		DNAJC28	
LHFP		POLR2C		SON	
LOC646982		CCDC102A		MGAT5	
SUGT1L1		GPR56		MRPS6	
KBTBD7		GPR97		SLC5A3	
C13orf30		DNAJC6		C21orf96	
MEGF6		C16orf80		RUNX1	
ENOX1		GOT2		LCT	
SERP2		A2BP1		DOPEY2	
LOC100190939		C16orf11		HLCS	
COG3		PDE4B		NCRNA00114	
SPERT		TAS1R1		HMGN1	
LCP1		ZBTB48		C21orf130	
C13orf18		CDH5		C2CD2	
LRCH1		KLHL21		UMODL1	
ESD		BEAN		C21orf128	
HTR2A		TK2		TFF2	
NUDT15		CMTM2		TMPRSS3	
RCBTB2		RRAD		UBASH3A	
MLNR		B3GNT9		PDE9A	
CAB39L		HSF4		CBS	
RCBTB1		EXOC3L		C21orf125	
TRIM13		ELMO3		PDXK	
KCNRG		E2F4		ZEB2	
DLEU2		PLEKHG4		C21orf33	
RNASEH2B		TPPP3		PFKL	
SERPINE3		ZDHHC1		TRPM2	
GJB5		HSD11B2		KRTAP10-11	
DHRS12		AGRP		C21orf29	
GJB3		FAM65A		KRTAP12-3	
THSD1		PHF13		ITGB2	
MIR759		PARD6A		ADARB1	
OLFM4		ACD		LOC642852	
PCDH17		CENPT		COL18A1	
TP73		THAP11		SLC19A1	
KIAA0319L		PSMB10		COL6A1	
DIAPH3		SLC12A4		C21orf56	
TFAP2E		DPEP3		PCNT	
C1orf216		WFIKKN1		DIP2A	
EIF2C3		ESRP2		S100B	
TRAPPC3		SLC7A6		EPC2	
PCDH9		SLC7A6OS		CACNB4	
C1orf113		SMPD3		STAM2	
FAM176B		CDH3		ACVR1C	
STK40		CDH1		RBMS1	
LOC388588		HAS3		KCNH7	
CSF3R		PDF		GALNT3	
GRIK3		COG8		FAM49A	
KLF12		WDR90		PXDN	
TBC1D4		FAM195A		MYO3B	
KIAA0562		SGIP1		TLK1	
DFFB		FUK		RAPGEF4	
CLN5		DNAJC11		ZAK	
RBM26		IL34		WIPF1	
NDFIP2		RHOT2		OSBPL6	
C1orf174		HP		FKBP7	
C1orf109		RHBDL1		PLEKHA3	
LOC100133612		ZFHX3		MIR548N	
MANEAL		STUB1		ZNF385B	
MTF1		JMJD8		MYT1L	
INPP5B		WDR24		MFSD6	
FHL3		ZNRF1		TMEM194B	
MIR17HG		METRN		MARS2	
MIR92A1		FAM173A		CLK1	
MIR20A		NARFL		CFLAR	
MIR19B1		CMIP		SDC1	
RRAGC		GNG12		ICOS	
MACF1		RPUSD1		PLEKHM3	
ABCC4		HSBP1		CRYGD	
DZIP1		MBTPS1		04-3__	
STK24		KIAA1609		IGFBP2	
SLC15A1		COTL1		IL17RA	
DOCK9		USP10		CECR5	
UBAC2		CRISPLD2		CECR2	
PABPC4		KIAA0513		PEX26	
HEYL		GNG13		USP18	
NT5C1A		FAM92B		PRODH	
BMP8B		C16orf74		RUFY4	
OXCT2		FOXF1		CXCR2	
MYCL1		FOXL1		CXCR1	
PPT1		C16orf68		GPBAR1	
COL9A2		ABAT		SLC11A1	
CCDC85C		BANP		RQCD1	
CYP46A1		MGC23284		TTLL4	
DEGS2		FAM38A		GNB1L	
C14orf68		APRT		C22orf29	
DLK1		GALNS		TXNRD2	
SNORD113-2		TRAPPC2L		C22orf25	
MIR543		CBFA2T3		MIR185	
MIR487B		ANKRD11		TRMT2A	
MIR539		RPL13		RANBP1	
DIO3OS		CPNE7		STK16	
